"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Actinomyces gerencseriae",0.820001536929015,0.999498242746992,0,0,-1.52434384682982,0.00243182467166114,0.0267500713882726,-2.73581626946162
"Actinomyces graevenitzii",0.0152876834597975,0.115157262380464,0.875318092354647,0.970816377030244,0.142264038548781,0.437500458785632,0.72971708668548,0.567278159593436
"Actinomyces sp._HMT_448",0.108678068020847,0.371793390597636,0.443806546765417,0.76081122302643,-0.584798706235944,0.567820621113103,0.788971810388733,-0.952292724604362
"Peptidiphaga sp._HMT_183",0.911606522253823,0.999498242746992,0,0,-1.85019344444575,0.000610151503944278,0.00964668161419343,-3.32068448843034
"Schaalia cardiffensis",0.338418002672089,0.745666785548671,0.760928728211598,0.94642882597247,0.232329156586992,0.708109042300465,0.871179763907807,0.414191786873772
"Schaalia odontolytica",0.0321164131408889,0.19881589087217,0.942215613081637,0.987083023228382,0.125029901910337,0.075749187107444,0.302996748429776,0.417647268089369
"Schaalia sp._HMT_178",0.575689459938073,0.91831416106744,0.269155141971972,0.555132480317192,-0.496477680289533,0.612458455554961,0.816611274073281,-0.666869437206808
"Alloscardovia omnicolens",0.0418515737130138,0.222284368770615,0,0,1.33746939137511,0.0411546259988335,0.177604788589234,2.565995449953
"Bifidobacterium dentium",0.00271805342557709,0.0504781350464316,0.191182254431829,0.442737852368447,1.16976841296866,0.366868961968365,0.7125477110652,2.02977869304418
"Bifidobacterium longum",0.748656633595032,0.992635399427652,0.00597215027431686,0.0346882409039843,-1.33474875060656,0.205025713113884,0.516234919400792,-2.13352934848053
"Parascardovia denticolens",0.698682345914141,0.963422091397512,0.0348597981543088,0.112231545277287,-0.817916232353239,0.368295666143469,0.7125477110652,-1.20939776010197
"Scardovia wiggsiae",0.0947382897337873,0.34943370157402,0.602078070998264,0.89574245427551,0.575345852573994,0.823054331942084,0.905359765136292,0.934194382499296
"Corynebacterium durum",0.149040459967943,0.461315709424586,0.0290539772089334,0.106531249766089,-0.905204923541105,0.215322125035691,0.526342972309467,-1.42892749040965
"Corynebacterium matruchotii",0.928361358268189,0.999498242746992,0.074732933314265,0.209888238244319,-0.729268531986059,0.406663607156401,0.7125477110652,-1.05983026918983
"Mycobacterium tuberculosis",0.00575371473952561,0.0644597411483114,0,0,3.26939637121652,9.15653146082995e-05,0.00330623014434672,5.77097708407598
"Rothia aeria",0.801706152125945,0.999498242746992,0.142753712557749,0.336490893886122,-0.714429141113592,0.630288516274844,0.831980841482795,-0.895799552098084
"Rothia dentocariosa",0.0994542073710673,0.34943370157402,0.297237968955479,0.585603162718257,-1.12644320164933,0.266436211969509,0.605998162096151,-1.64718452483151
"Rothia mucilaginosa",0.27377347431136,0.647100939281396,0.459710713383868,0.774580715713459,0.945857298010552,5.51279055616138e-06,0.000363844176706651,1.46900667119398
"Arachnia propionica",0.872975908489046,0.999498242746992,0,0,-2.11825532458401,0.000657728291876825,0.00964668161419343,-3.88716403562311
"Lancefieldella parvula",0.111600795454948,0.372002651516492,0.211837681592181,0.479713942760361,1.60560820952407,0.0181079817090963,0.108647890254578,2.77918089827151
"Olsenella sp._HMT_807",0.636036289295411,0.929041770880937,0.840965709722655,0.956960980029228,-0.253933876972292,0.792176640098423,0.884977225965,-0.482041642033166
"Olsenella uli",0.99553336964827,0.999498242746992,0.753849004762076,0.94642882597247,-0.305286009497,0.465486944997771,0.740292490839829,-0.610259863508777
"Cryptobacterium curtum",0.402074956588074,0.79196582358257,0.721498732397595,0.935491664692182,0.356506507988558,0.50361607612617,0.754966473944928,0.751710565544821
"Slackia exigua",0.850909906874905,0.999498242746992,0.431242321468761,0.757080594204968,-0.497300236609437,0.410254742734509,0.7125477110652,-0.719421187469974
"Phocaeicola abscessus",0.16619555628475,0.502451681791104,0.911742174023336,0.983251137225734,0.0841172938139162,0.64784245084552,0.838384348153026,0.237239946273694
"Bacteroidales_[G-2] bacterium_HMT_274",0.0859033470316791,0.34943370157402,0.00376662482936605,0.0282896517407927,-1.39536965335623,0.118392989655137,0.363438944987863,-2.26721154376877
"Porphyromonas catoniae",0.993300951245822,0.999498242746992,0.00855060612923745,0.0442034655534227,-0.990232861950425,0.137666128560213,0.388559197552489,-1.58642282673701
"Porphyromonas endodontalis",0.538265054143646,0.897108423572743,0.274342161717261,0.557125620718129,-0.839518410457845,0.713180841473103,0.871179763907807,-1.30754279840361
"Porphyromonas gingivalis",0.24359702861779,0.58915236527359,0.808176404905578,0.951186356383259,0.18113939626335,0.510772943363215,0.754966473944928,0.4301438163852
"Porphyromonas sp._HMT_285",0.116108052234751,0.37735116976294,0.408727946559103,0.757080594204968,1.1933363176758,0.000442108684993503,0.00964668161419343,1.76627167365033
