function	SM001	SM002	SM003	SM004	SM005	SM006	SM007	SM008	SM009	SM010	SM011	SM012	SM013	SM014	SM015	SM016	SM017	SM018	SM019	SM020	SM021	SM022	SM023	SM024	SM025	SM026	SM027	SM028	SM029	SM030	SM031	SM032	SM033	SM034	SM035	SM036	SM037	SM038	SM039	SM040	SM041	SM042	SM043	SM044	SM045	SM046	SM047	SM048	SM049	SM050	SM051	SM052	SM053	SM054	SM055	SM056	SM057	SM059	SM060	SM061	SM062	SM063	SM064	SM065	SM066	SM067	SM068	SM069	SM070	SM071	SM072	SM073	SM074	SM075	SM076	SM077	SM078	SM079	SM080	SM081	SM082	SM083	SM084	SM085	SM086	SM087	SM088	SM089	SM090	SM091	SM092	SM093
1.1.1.269-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.67	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.271-RXN	4028.47	4306.34	15109.36	7372.5	8226.71	1238.5500000000002	8808.05	21463.61	262.0	456.18	1475.0	151.82	122.86	8355.1	4845.009999999999	15172.09	15764.16	3821.15	13838.87	1939.25	12306.54	11295.22	15268.0	3082.98	6753.0	24717.5	14509.79	18958.2	3689.16	97.0	508.0	3020.25	410.84	13300.81	5703.68	145.75	12795.6	16812.04	1709.0600000000002	5841.97	2058.25	142.36	0.0	3.0	841.5	27674.5	4975.32	23383.05	1974.17	4777.0	5688.23	1240.88	5758.67	1903.34	11507.08	4309.5	638.75	25138.85	8708.49	24550.730000000003	649.49	1157.6	1947.26	2661.6800000000003	6865.19	2560.5	9.3	24422.08	8819.8	1865.2100000000005	1819.77	6177.3	14489.57	4263.139999999999	6093.32	10900.579999999998	5641.179999999999	7064.1	16265.9	829.21	13748.66	443.43	12888.52	9592.78	4928.75	6074.89	7879.379999999999	19410.75	1319.0500000000002	5039.17	24772.14	8850.18
1.1.1.274-RXN	4784.469999999999	2777.52	99.4	794.0	2931.21	2767.38	269.66	7030.349999999999	188.4	377.71	235.0	4281.13	221.46	10362.27	4116.81	224.14	562.86	416.15	13838.87	1869.37	779.93	196.28	0.0	1066.86	1387.0	317.0	1462.42	3897.0	816.38	47.0	650.5	25.0	600.89	2050.5	5017.3	2790.12	8263.77	0.29	198.3	6135.2	261.57	24.86	0.0	1109.62	334.2	3715.2	1028.95	53.0	0.0	2757.4	1708.2400000000002	135.29	611.4	579.5699999999999	14982.28	2968.83	43783.57	25138.85	4829.0	11976.53	70.33	490.0	116.46	913.43	2243.29	5996.0	2779.0	987.25	1652.79	586.0	2482.9700000000003	6191.54	146.63	248.94	31.97	5600.78	8500.85	11271.75	12380.56	1227.71	4583.33	262.93	9952.13	2087.8900000000003	23298.8	42125.39	625.41	2638.2	2172.14	488.85	1417.32	4100.93
1.1.1.291-RXN	24.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.67000000000002	0.0	0.0	0.0	0.0	2480.91	0.0	0.0	0.0	79.0	6.0	6.0	56.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	1530.2	0.0	0.0	136.86	0.0	6.0	1.0
1.1.1.292-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8791.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
1.1.1.39-RXN	4867.469999999999	10146.52	20340.72	1462.0	8594.86	9506.47	15315.71	8277.099999999999	7196.24	735.0	193.0	3085.32	281.21	6118.66	4800.81	6754.21	6963.59	727.15	13838.87	1902.74	5367.97	25176.76	1953.0	4498.23	13953.0	5212.99	4253.67	8916.369999999999	33322.22	1140.5	20891.0	8677.75	2016.6	11041.44	24077.94	31652.45	2075.09	7879.54	18712.8	30969.0	7098.97	738.72	161.5	14.62	1593.7	7171.459999999999	15187.32	10253.53	3902.7	22541.05	7432.09	4803.64	5850.33	2234.57	17466.7	3684.61	11835.46	25138.85	41564.42	12969.86	7087.8	4707.71	2003.69	6537.39	10426.37	13954.0	957.19	20081.83	43095.24	7561.1	1769.2599999999998	9941.099999999999	15359.93	741.83	237.97000000000003	12606.829999999998	29069.180000000004	10213.3	22395.7	16868.81	5967.31	51068.91	25232.59	11326.71	26682.5	15096.25	31110.960000000003	26456.04	15733.55	1892.43	1875.32	24218.42
1.1.1.51-RXN	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	359.79999999999995	0.0	0.0	26.8	0.0	0.0	32.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	947.8	9.0	0.0	0.0	9.8	0.0	22.8	0.0	0.0	0.0	1.0	0.0	4.4	0.0	5.0	33.0	0.0	0.0	49.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	21197.6	0.0	0.0	0.0	0.0	0.0	3.0	4.0	16.6	4.0	4.4	403.19999999999993	725.8000000000001	56.870000000000005	76.2	8705.67	2.0	56.03	3.6	2.4	0.0	0.6	0.0	2.83	24.200000000000003	0.0	0.0	160.6	172.20000000000002	2469.0	9.2	3.6	0.0	0.0	0.0	0.0
1.1.1.53-RXN	0.0	0.0	2032.8	25.0	50.5	283.0	5.0	12.0	2640.5	82.0	0.0	91.13	0.0	0.0	37.6	35.0	0.0	64.8	0.0	0.0	126.5	4643.5	0.0	0.0	5.5	271.0	0.0	45.5	2262.0	95.5	0.0	1905.5	8.0	0.0	2.67	0.0	3.5	4.5	50.0	0.0	21.0	6.0	11.5	33.0	316.5	0.0	105.0	10.0	0.0	6.0	376.5	32.5	1533.5	111.5	56.5	168.32999999999998	522.17	0.0	19.0	12.0	152.0	12.5	54.0	367.0	361.7000000000001	574.5	0.0	37.5	3080.5	102.74	1138.57	17934.170000000002	2.0	69.58999999999999	4.8	0.0	0.0	1.2	0.0	5.66	48.400000000000006	0.0	0.0	160.0	34.0	2469.0	4.33	0.0	0.0	0.0	0.0	0.0
1.1.1.83-RXN	3979.61	3628.52	51.4	18.0	8.21	397.58	9.0	667.66	67.33	289.71000000000004	1.57	220.2	17.86	694.77	1697.81	96.57	33.36	234.55	13654.44	20.37	4.43	1408.88	0.0	320.36	0.0	17.67	883.13	4.0	47.29	0.0	0.0	19.5	113.0	7.5	1.43	49.620000000000005	739.11	68.5	2.5700000000000003	0.0	10.07	12.86	3.0	0.62	5.33	15.000000000000002	0.0	314.83000000000004	42.0	6.5	8.1	6.0	160.0	1.57	72.78	0.0	0.0	25084.85	0.0	1504.06	34.95	31.67	21.38	1.0	156.89	3.5	3.0	974.5	30.42	628.8700000000001	882.47	14887.210000000005	51.53	144.27	32.3	98.58	192.85	944.19	246.06	261.54	4672.96	324.27000000000004	4965.13	68.99000000000001	0.0	7592.46	9.15	0.0	71.14	268.55	1420.4499999999998	661.4300000000001
1.1.3.41-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2332.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.99.25-RXN	97.12	0.38	3.67	0.0	0.0	0.0	0.0	6833.349999999999	0.0	0.0	0.0	72.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	2.0	0.88	0.0	0.0	0.0	0.0	883.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.0	0.0	0.0	0.0	0.0	16.66	0.0	0.62	4.0	31.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11532.39	8.620000000000001	0.0	32.75	0.0	0.0	0.0	0.0	1297.92	0.0	0.0	0.0	14.240000000000002	17.38	33.5	43.91	0.0	0.0	1.62	3.0	0.43	0.0	267.18	4953.13	0.0	0.0	52.5	0.0	0.0	130.43	0.0	0.0	0.0
