"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Abiotrophia",0.426137088476762,0.707206231940158,0.0327684878618386,0.184907895791804,-3.09734004803624,0.0202879764672144,0.133562511742495,-4.54659720411132
"Acinetobacter",0.582670852222287,0.815850805462153,0.944387676189892,0.999208397472279,0.0305482238143565,0.992685742739259,0.997072025455283,0.155470688798453
"Actinomyces",0.802519609518913,0.874620783733694,0.747753148522124,0.987756211956831,0.338314850418868,0.638844663000205,0.919754842591163,0.631023150403503
"Aggregatibacter",0.0406323079698183,0.186430589508578,0.908228073545839,0.999208397472279,0.0992182376780872,0.993528385130727,0.997072025455283,0.14897736827001
"Alloprevotella",0.45425109137769,0.714389681625268,0.0271188055438212,0.164798895227837,1.48585889805261,0.282107036909738,0.506510361724303,2.3910874688552
"Anaeroglobus",0.000191573238606678,0.00498090420377362,0.0100260581315313,0.128802571626667,2.08543321426254,0.0174626515208389,0.125413588195116,3.28803444927337
"Arachnia",0.115618726073406,0.392098288422855,0.0360692383260124,0.189964655183665,-1.20707406715298,0.0851197105714701,0.268978285405845,-1.90228634908302
"Bacteroidales_[G-2]",0.299036162315277,0.598072324630553,0.258535246427957,0.589085531247413,-0.528355631019345,0.72107517407265,0.949415645862322,-0.814074088210253
"Bacteroides",0.556044170277474,0.815850805462153,0.558883268125513,0.851411824730882,0.224397857146697,0.901345822094423,0.997072025455283,0.514116239264866
"Bifidobacterium",0.55837051677869,0.815850805462153,0.10829302941872,0.407388063051373,1.62875728427953,0.332142822694855,0.558282616870075,2.46982714019531
"Bulleidia",0.600716126317498,0.815850805462153,0.275900818432333,0.589085531247413,0.618009994461534,0.302817387092345,0.527850725683461,1.11525935762782
"Burkholderia",0.89972224574486,0.948355880649987,0.967949171628208,0.999208397472279,-0.033372852694345,0.991249094019878,0.997072025455283,0.214250293475016
"Campylobacter",0.00678135719692976,0.0825706651133775,0.0147938166992996,0.128802571626667,1.7320382895414,0.00464443245039348,0.0407677959534539,2.75628850296132
"Capnocytophaga",0.000172583215536597,0.00498090420377362,0.806009861339873,0.987756211956831,-0.293777582265794,0.0667033804556195,0.229111611130171,-0.242756324875491
"Cardiobacterium",0.0051624626375806,0.0825706651133775,0.0893405968678767,0.371468797503277,-1.38422144787538,0.144343915971258,0.399922561150173,-2.0775921671107
"Catonella",0.730699134847068,0.848227448441373,0.696971139356961,0.987756211956831,-0.143441101785553,0.978909237994594,0.997072025455283,-0.118750849568927
"Cloacibacterium",0.0106166250162006,0.0895979936423156,0.134725483206533,0.425732526932644,-1.23008264457651,0.307356118752395,0.527850725683461,-1.95302359540458
"Corynebacterium",0.0279739622829682,0.145464603871435,0.539242504112054,0.851411824730882,0.400851174328447,0.887042685731801,0.997072025455283,0.738119164392194
