"Taxa","Unadjusted","Adjusted"
"Abiotrophia","*","+*"
"Actinomyces","*",""
"Aggregatibacter","$","$"
"Alloprevotella","*","+"
"Anaeroglobus","$*","$+*"
"Arachnia","*","+"
"Bifidobacterium","*",""
"Bulleidia","*",""
"Campylobacter","*","$+*"
"Capnocytophaga","$*","$"
"Cardiobacterium","*","$"
"Catonella","*",""
"Cloacibacterium","*","$"
"Corynebacterium","$*","$"
"Cryptobacterium","*",""
"Desulfovibrio","*",""
"Dialister","*","$"
"Dolosigranulum","*",""
"Eggerthia","*",""
"Escherichia","$+*","$*"
"Fannyhessea","*",""
"Fusobacterium","*",""
"Gemella","$*","*"
"Granulicatella","*","+*"
"Haemophilus","*","*"
"Kingella","$+*","+"
"Kluyvera","$*","$*"
"Lachnoanaerobaculum","+*",""
"Lancefieldella","*","*"
"Lautropia","*","$*"
"Leptotrichia","*","*"
"Megasphaera","*","+"
"Mogibacterium","$*",""
"Mycobacterium","+*^","+*^"
"Mycoplasma","*","+"
"Neisseria","*","*"
"Oribacterium","*","+"
"Ottowia","*",""
"Parvimonas","*",""
"Peptidiphaga","*","+"
"Peptostreptococcaceae_[G-9]","*","$"
"Peptostreptococcus","*",""
"Porphyromonas","*",""
"Prevotella","*","+*"
"Pseudomonas","$",""
"Rothia","*","*"
"Saccharibacteria_(TM7)_[G-1]","$+*","$"
"Saccharibacteria_(TM7)_[G-3]","$+*","$+"
"Scardovia","*","*"
"Schaalia","*",""
"Selenomonas","*","+"
"Solobacterium","$+*","$"
"Stomatobaculum","$+*","$"
"Streptococcus","*","*"
"Tannerella","$+*",""
"Treponema","","$"
"Veillonella","*","*"
