"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Abiotrophia",0.38843289065659,0.573873473937443,0.0787712856121102,0.259288815139863,-1.61234007433956,0.00158005204166223,0.00445800397468986,-2.23214087274388
"Acinetobacter",0.0929777928357279,0.297166607911528,0.990666785892853,0.990666785892853,0.0069895242912742,0.375777218798751,0.424091432644305,0.16340111771901
"Actinomyces",0.825395862039314,0.877780151051661,0.483982628960408,0.857043065942596,-0.513710408440016,4.01346469169894e-07,1.86508065084833e-06,-0.571214627795458
"Aggregatibacter",0.0059439916271851,0.0586969173184528,0.317026804616514,0.758942956506199,0.693300946383568,0.209530157883442,0.256270138326896,1.30037047235381
"Alloprevotella",0.941801367548579,0.953875744055612,0.454858262928238,0.857043065942596,0.493503934102214,0.0641783924946144,0.107874319299458,1.04493547587914
"Anaeroglobus",0.00837527935698101,0.0713999446646962,0.0315197439355176,0.207504980908824,1.06217160334537,0.0173006915081843,0.0333354787596721,1.99934519067147
"Arachnia",0.327999551614528,0.522103345368834,0.046745273390854,0.220374488492777,-0.755244564304177,0.0124591644125271,0.0259019470681485,-1.06573545955971
"Bacteroidales_[G-2]",0.10056082250289,0.297166607911528,0.0523258764528635,0.220374488492777,-0.857803797090913,0.160534336147956,0.214310705411131,-1.14824385359122
"Bacteroides",0.223927337177678,0.459360239230205,0.378362472710358,0.830295426225508,-0.449677923514781,0.300274362539384,0.343792386095817,-0.437490778748055
"Bifidobacterium",0.81154437998887,0.877780151051661,0.123695966790632,0.349421872147432,1.08615438117562,0.00428949756549279,0.0109053694711735,1.96309144065402
"Bulleidia",0.10156327105837,0.297166607911528,0.497428363552254,0.857043065942596,0.230406566408891,0.00105555254587175,0.00320725581245648,0.601849637501281
"Burkholderia",0.272390751897797,0.484341819293711,0.0401499193597879,0.219949641125034,-1.50716548249654,0.142585440154893,0.201147317361367,-2.23425237689751
"Campylobacter",0.101251541322526,0.297166607911528,0.871942626329848,0.930857668649433,-0.102848458147819,4.33075797445781e-12,4.88756971403096e-11,0.207555169619516
"Capnocytophaga",0.000648189767206682,0.0234767729195377,0.398386786828045,0.839339622821894,-0.662738970948948,2.57083457522178e-07,1.26934957151575e-06,-0.572949831754007
"Cardiobacterium",0.525818348505286,0.669994347288994,0.0285888656245239,0.205320034939763,-1.00265499565479,0.0894681587975839,0.138587932255081,-1.54495494834897
"Catonella",0.373245008540818,0.567045301437012,0.228719391753195,0.582865546725885,-0.38105952643927,0.0101099971691824,0.0228197078961545,-0.412287166081477
"Cloacibacterium",0.0496160156694941,0.230568543405296,0.0279278496983069,0.205320034939763,-1.20035029350614,0.0313254138613299,0.057551341745234,-1.75447245847513
"Corynebacterium",0.00520144440617993,0.0586969173184528,0.543686953901678,0.857043065942596,0.402323903327019,0.0147242093170364,0.029080313401147,0.875231160632922
"Cryptobacterium",0.262966572660559,0.484341819293711,0.733086751510101,0.857043065942596,-0.131803681671766,0.0487026434343891,0.0836414963329726,0.059877242745853
"Desulfovibrio",0.478061318610927,0.640116002885818,0.638836576670902,0.857043065942596,-0.159853116588324,0.00364147283155658,0.00958921178976566,0.0165701111841748
"Dialister",0.0991641213866725,0.297166607911528,0.734428970265191,0.857043065942596,0.198019896296534,0.0114218004512369,0.0249239598256378,0.612055114315462
"Dolosigranulum",0.640313388645137,0.733112430477766,0.621000535189039,0.857043065942596,-0.167656119169733,0.00577681124341445,0.0138293360069619,-0.0254061916470758
"Eggerthia",0.293264717205572,0.492280800463504,0.563952688383557,0.857043065942596,0.232820632275846,0.0284202257031245,0.0534570912034961,0.599446927733406
"Eikenella",0.0898249058258191,0.297166607911528,0.946479548498547,0.971063432875133,-0.0388858410819758,0.203840504889806,0.255609522004677,0.079600956213934
"Enterobacter",0.0464218881471103,0.229208072726357,0.500483342066025,0.857043065942596,0.386253988815056,0.170484403875942,0.22079127715081,0.821184202922357
"Escherichia",0.000148598429507436,0.0117392759310875,3.88207699180918e-06,0.000153342041176463,-3.92536911879583,6.5394356596471e-12,6.45769271390151e-11,-5.79911821229117
"Fannyhessea",0.656615758841742,0.741037784978537,0.577355940775972,0.857043065942596,0.23396685538798,0.0681540395008831,0.11217019001187,0.638961688887222
