"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Abiotrophia",0.350573320211143,0.444476888124841,0.470067192097183,0.719490600148749,-0.483672301256047,0.319239112629374,0.639510049273293,-0.927844035503677
"Acinetobacter",0.998340210371899,0.999999999976979,0.75672012135424,0.915387243573678,0.163217816742665,0.955144104833729,0.987714610955115,0.0909478176041077
"Actinomyces",4.66672245262572e-09,4.14171617670533e-08,0.00929201929290377,0.135235199583511,-1.20502250764277,0.0260545619714746,0.1776447407146,-2.14660189363927
"Aggregatibacter",NA,NA,0.582955472355765,0.837466961040704,0.437032117391185,0.880561598547266,0.987714610955115,0.502363143624211
"Alloprevotella",6.62455195733807e-05,0.000180901226527309,0.364926995045073,0.636500572753035,-0.63604510294436,0.572820097089936,0.842382495720495,-1.24911733041769
"Alloscardovia",0.0741026070682172,0.116917446707632,0.103949462859746,0.37124808164195,-0.705897275261891,0.0830551984150691,0.311456994056509,-1.22925596277038
"Anaeroglobus",3.77412254845487e-06,1.33981350470148e-05,0.0913156772480362,0.37124808164195,0.881956066154318,0.211287383405252,0.511179153399803,1.29060973788263
"Bacteroidales_[G-2]",0.99967339515686,0.999999999976979,0.776342861397133,0.915695653501903,-0.0695733008670916,0.740062369463447,0.94075724931794,-0.194677647807936
"Bifidobacterium",1.01329266631468e-08,6.54034357348565e-08,0.8140105795238,0.915695653501903,-0.120304491185277,0.644960489975346,0.879491577239108,-0.275437162236336
"Bulleidia",0.529166161620675,0.636793177543524,0.198151801426704,0.489559642969149,0.387863046003207,0.509479932286134,0.812999891945958,0.513381673919396
"Campylobacter",9.769751700516e-12,1.73413092684159e-10,0.342668095657259,0.625992665915252,0.55734898220588,0.0983301242494901,0.35117901517675,0.640083843547002
"Capnocytophaga",0.00094414743109303,0.00223448225358684,0.748425602511811,0.915387243573678,-0.156734885005338,0.0300801932059009,0.188001207536881,-0.482769663325273
"Catonella",0.999999999976979,0.999999999976979,0.879067827361827,0.915695653501903,-0.0357177777232768,0.870084541426302,0.987714610955115,-0.171646753793378
"Cloacibacterium",0.510428683543351,0.624835112613413,0.996750726483401,0.996750726483401,0.00149811893930849,0.908118836157477,0.987714610955115,-0.11095834444231
"Corynebacterium",NA,NA,0.0739103004175923,0.326074854783495,-1.04869758484648,0.114120427258126,0.389046911107248,-1.80582139999053
"Cryptobacterium",0.344057768138003,0.44414730068724,0.0230171571172939,0.21578584797463,-0.721137631925905,0.0637804007860863,0.281384121115086,-1.35767784058899
"Desulfovibrio",0.785187265503474,0.857666090011487,0.626120477015264,0.85380065047536,0.104701006853681,0.994981948765639,0.994981948765639,0.00139464137809581
"Dialister",9.93882819050977e-09,6.54034357348565e-08,0.686583377638423,0.903675743120934,-0.21259712523235,0.849914224114472,0.987714610955115,-0.495749873397873
"Eggerthia",0.105368360975521,0.162633774549173,0.0325274420767254,0.24395581557544,0.777900467084927,0.0588971556235691,0.281384121115086,1.14713613083067
"Eikenella",0.0203600945350975,0.0352577246827298,0.869999574923439,0.915695653501903,-0.11675596634137,0.892060566483485,0.987714610955115,-0.326477604696173
"Enterobacter",0.0115457052274708,0.021572238714485,0.436806848269435,0.712185078700165,0.402084982237923,0.20711252876353,0.511179153399803,0.582743774907712
"Escherichia",3.73334794821919e-09,4.14171617670533e-08,0.0416804381146881,0.254048346656063,0.938846559848092,0.000238683934243644,0.00447532376706833,1.30012402224845
"Eubacterium",0.0102677317060882,0.0197029446251963,0.392633303946418,0.669261313545031,-0.22276476613154,0.34107202627909,0.639510049273293,-0.462110383853873
"Fannyhessea",0.640627776714798,0.721977335662709,0,0,0.498336160622469,0.324212797839663,0.639510049273293,0.690430536563185
