"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Abiotrophia",0.0601334002322846,0.34434664479014,0.802803635415917,0.923314693321309,-0.187445023772492,0.0352063639896264,0.0574016804178691,-0.53085191671266
"Acinetobacter",0.0598669401552465,0.34434664479014,0.725899219911074,0.922590498442816,0.198504508985346,0.344824309815793,0.391845806608856,0.0320181044585455
"Actinomyces",0.969116012276918,0.969671816064218,0.110862426114147,0.775755632301603,-1.01392876013571,5.98130434070754e-11,4.48597825553065e-10,-1.93240431987815
"Aggregatibacter",0.111717943099652,0.440657748264379,0.687261822194809,0.922590498442816,-0.325756884320528,0.0294423376270762,0.0513529144658305,-0.770836256256307
"Alloprevotella",0.210421926092097,0.487153456673165,0.196361684120045,0.821249681352311,-0.913128319827419,0.000107031436655025,0.000334473239546954,-1.71429622387734
"Alloscardovia",0.314913975399111,0.576062150120325,0.235391605316835,0.821249681352311,-0.598791350725778,0.230607588333798,0.298199467673014,-1.20420648105378
"Anaeroglobus",0.153134479192461,0.487153456673165,0.230240598453896,0.821249681352311,0.691021088205922,0.0610804409728658,0.097468788786488,1.00934188011384
"Bacteroidales_[G-2]",0.486303202161551,0.688164908719176,0.741663502396863,0.922590498442816,0.100674906180934,0.000964506300827894,0.00226056164256538,-0.060048840844115
"Bifidobacterium",0.911781152055603,0.969671816064218,0.708832935913061,0.922590498442816,0.284109656732174,0.000647608596299087,0.00173466588294398,0.237990033940454
"Bulleidia",0.671584190703162,0.799504988932336,0.377410958601925,0.857752178640738,0.312646214279088,0.00657251310934437,0.0140839566628808,0.312985371222667
"Campylobacter",0.482610574626481,0.688164908719176,0.434562962039871,0.872113951757666,0.494405314518029,1.5004664177809e-11,1.25038868148408e-10,0.580393483541353
"Capnocytophaga",0.536645694966528,0.714973621574501,0.629464477841129,0.922590498442816,0.2937992732733,1.59496155172079e-08,8.5444368842185e-08,0.269166432847307
"Catonella",0.860609865766123,0.969671816064218,0.93936448552262,0.992286428368965,-0.0220698170129649,0.000856798945651827,0.0020729006749641,-0.275341213488528
"Cloacibacterium",0.522761688012177,0.712856847289333,0.878575240992315,0.983479747379457,0.0636582547442463,0.887821116191355,0.887821116191355,-0.118696562210821
"Corynebacterium",0.3132778080814,0.576062150120325,0.500011999007729,0.872113951757666,-0.501358043098344,0.000335088490877267,0.000930801363547963,-1.09489171611966
"Cryptobacterium",0.0649568019110919,0.34434664479014,0.307528701128373,0.823737592308141,-0.443129667692144,0.253148550683931,0.321799005106692,-0.907892669632328
"Desulfovibrio",0.956091749848472,0.969671816064218,0.812516930122752,0.923314693321309,0.0703969948226598,0.000723918054401751,0.00180979513600438,-0.0855662689899309
"Dialister",0.847190053367302,0.969671816064218,0.488099674749549,0.872113951757666,-0.407238111353802,0.000144945439303878,0.000426991152836359,-0.817568396605454
"Eggerthia",0.572865259581389,0.730080344204373,0.294166877260206,0.821249681352311,0.419044889027334,0.0319072084326059,0.0531786807210098,0.469123957086586
"Eikenella",0.365758534197619,0.618904524940139,0.959753710152331,0.998609768850839,-0.0351603195486041,0.227847192654545,0.298199467673014,-0.264410197177529
"Enterobacter",0.341514271075122,0.609846912634147,0.426769274460602,0.872113951757666,0.467264848907548,0.298421361222036,0.360993582123431,0.537385019138781
"Escherichia",0.245070200036656,0.530926955462653,0.105043803138035,0.775755632301603,1.16841782727889,0.00766937136364865,0.0158636620334173,1.73847738596247
"Eubacterium",0.271560321890095,0.535974319519924,0.48624072575692,0.872113951757666,-0.248244850727069,0.0119775343226611,0.0230337198512714,-0.648467649851165
"Fannyhessea",0.953008789742231,0.969671816064218,0,0,0.633096370336988,0.00782607326981921,0.0158636620334173,0.858377068253217
"Fusobacterium",0.543379952396621,0.714973621574501,0.78111113667836,0.923314693321309,0.195494577946142,5.05157689221214e-05,0.000172212848598141,0.0279972553067582
"Gemella",0.261923964694909,0.530926955462653,0.411201034931306,0.872113951757666,-0.854566905863312,4.30470881163103e-10,2.93502873520298e-09,-1.6555524981904
"Granulicatella",0.202686328152667,0.487153456673165,0.687431185066592,0.922590498442816,-0.279752382924025,0,0,-0.662085419378137
"Haemophilus",0.0357520116778208,0.34434664479014,0.222387758049267,0.821249681352311,1.17762977759197,5.17119680409905e-12,4.84799700384286e-11,1.53111463377137
"Kingella",0.506969536905817,0.704124356813635,0.444015089303589,0.872113951757666,0.507672546774523,0.0313173103080706,0.0531786807210098,0.665417728390926
