X.OTU
SM004
SM005
SM009
SM010
SM017
SM018
SM021
SM022
SM025
SM026
SM027
SM028
SM030
SM031
SM032
SM034
SM035
SM037
SM038
SM040
SM041
SM042
SM043
SM044
SM045
SM046
SM047
SM048
SM049
SM050
SM051
SM052
SM053
SM054
SM055
SM056
SM057
SM060
SM062
SM063
SM064
SM065
SM067
SM069
SM070
SM066
SM088
SM061
