Readcount,Genus/Species
248,Neisseria
116,Haemophilus parainfluenzae
108,Haemophilus
58,Actinomyces
57,Stenotrophomonas maltophilia
56,Bifidobacterium dentium
47,Streptococcus
40,Abiotrophia defectiva
39,Lautropia mirabilis
39,Actinomyces graevenitzii
36,Mycobacterium tuberculosis
34,Escherichia coli
29,Schaalia
28,Corynebacterium
27,Pseudomonas
23,Klebsiella pneumoniae
22,Aggregatibacter
20,Kingella oralis
16,Alloscardovia omnicolens
15,Enterobacter
14,Haemophilus parahaemolyticus
14,Neisseria macacae
13,Cloacibacterium normanense
13,Aggregatibacter segnis
12,Acinetobacter
11,Ottowia sp._HMT_894
11,Haemophilus influenzae
11,Haemophilus haemolyticus
11,Sphingomonas glacialis
10,Actinomyces sp._HMT_448
9,Bifidobacterium
8,Campylobacter curvus
7,Corynebacterium matruchotii
7,Acinetobacter baumannii
7,Neisseria oralis
6,Corynebacterium durum
5,Cardiobacterium valvarum
5,Achromobacter xylosoxidans
5,Haemophilus aegyptius
4,Bosea vestrisii
4,Schaalia cardiffensis
4,Bifidobacterium longum
4,Microbacterium flavescens
4,Cronobacter sakazakii
3,Haemophilus pittmaniae
3,Burkholderia cepacia
3,Acidovorax
3,Bifidobacterium breve
3,Kluyvera ascorbata
3,Stenotrophomonas
2,Dermabacter hominis
2,Aggregatibacter aphrophilus
2,Scardovia wiggsiae
2,Cardiobacterium hominis
2,Paracoccus yeei
2,Acinetobacter junii
2,Selenomonas sputigena
2,Brevundimonas diminuta
1,Pseudomonas otitidis
1,Pseudomonas stutzeri
1,Pseudomonas fluorescens
1,Moraxella osloensis
1,Moraxella
1,Haemophilus sp._HMT_259
1,Actinomyces oricola
1,Mobiluncus mulieris
1,Aggregatibacter sp._HMT_949
1,Serratia marcescens
1,Corynebacterium diphtheriae
1,Corynebacterium jeikeium
1,Mycobacterium
1,Microbacterium
1,Cutibacterium
1,Prevotella
1,Granulicatella adiacens
1,Lactobacillus
1,Streptococcus sanguinis
1,Solobacterium moorei
1,Veillonella
1,Roseomonas
1,Actinomyces gerencseriae
1,Kingella
1,Enterobacter cancerogenus
1,Acidovorax temperans
