"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Actinomyces gerencseriae",0.181047795621811,0.554751341542825,0.0184676039329767,0.148972005059345,-0.979519721964868,0.127945839762119,0.542514983560581,-1.74709872136391
"Actinomyces graevenitzii",0.884222154579891,0.981245632143723,0.0743209550842059,0.299761185506297,-0.881852178150542,0.491276259752678,0.990615952360888,-1.56693251204466
"Actinomyces sp._HMT_448",0.0632631037248439,0.352729367238009,0.043297429856532,0.228343935787815,-1.01688925916656,0.277444019745344,0.696267879975953,-1.71236420328479
"Peptidiphaga sp._HMT_183",0.915829256667475,0.981245632143723,0.00162941033228832,0.0657195500689622,-1.25110188516117,0.0518842796376584,0.330420938745088,-2.15519999655427
"Schaalia odontolytica",0.446244082199609,0.852305736496216,0.246905894450646,0.595981626345468,-1.35814086773802,0.565215201296464,0.999252715885896,-2.11175369740188
"Bifidobacterium dentium",0.00383699508006625,0.0801930674791823,0.0332925494104348,0.213199503940331,1.75685567177458,0.153484667364212,0.575300450190314,3.12061054399508
"Parascardovia denticolens",0.928628726881821,0.985366969566493,0.462386835028737,0.755867942859362,-0.282023100211585,0.982034400668725,0.999252715885896,-0.130592923895088
"Scardovia wiggsiae",0.423568329715864,0.852305736496216,0.0734075934020069,0.299761185506297,1.9463527468504,0.023167640225495,0.186885631152326,3.59678576946628
"Corynebacterium durum",0.187604072000861,0.554751341542825,0.0170721217155453,0.147551909112927,-0.856311798659722,0.120091763484375,0.542514983560581,-1.48859624978728
"Mycobacterium tuberculosis",0.364501302031646,0.810002893403659,0,0,3.2011827287905,1.05121823279486e-05,0.000423991353893927,6.0924873943779
"Rothia aeria",0.740884621278439,0.981245632143723,0.601865567128841,0.775543452032612,-0.26175132824603,0.969098796021878,0.999252715885896,-0.334864027094352
"Rothia dentocariosa",0.321598627505486,0.743521828762455,0.836598216049981,0.914670291537159,0.325450107771884,0.0303595295769921,0.216088416400943,0.912061726935183
"Rothia mucilaginosa",0.430293498396204,0.852305736496216,0.538543703249494,0.765917780980885,-0.802188602187313,0.000101882805267239,0.00224024039760007,-0.715381728449552
"Arachnia propionica",0.105903514211477,0.455129021341612,0.00726640250070037,0.0976927447316383,-1.57431508498506,0.0173763558542019,0.16173377371988,-2.86396065980171
"Lancefieldella parvula",0.180763954769267,0.554751341542825,0.85503141620965,0.923739297869354,-0.258489018584846,0.183535522229939,0.589645052079201,-0.0442039478127433
"Olsenella uli",0.0646670506603017,0.352729367238009,0.550064921254678,0.765917780980885,-0.347386551048868,0.836370196997222,0.999252715885896,-0.487062535409716
"Cryptobacterium curtum",0.481113488046401,0.862702529903839,0.0729870770464296,0.299761185506297,-0.840918797877896,0.425650488317019,0.907371681871285,-1.24405217111445
"Slackia exigua",0.993782994800235,0.999967636878281,0.0289876764185957,0.206324049802946,-1.06860041656566,0.121522282361738,0.542514983560581,-1.81416981066851
"Bacteroides heparinolyticus",0.91002676567809,0.981245632143723,0.835464271065164,0.914670291537159,-0.0657654161206713,0.970414332198175,0.999252715885896,0.149636853557816
"Phocaeicola abscessus",0.0610448834846073,0.352729367238009,0.646966091350359,0.790736333872661,0.24881990483752,0.858059216277153,0.999252715885896,0.49658886164286
"Bacteroidales_[G-2] bacterium_HMT_274",0.300547456206624,0.721313894895899,0.0471784991297138,0.228343935787815,-0.895596648851426,0.466724136360688,0.973683112062815,-1.38351557458553
"Porphyromonas catoniae",0.443177844198015,0.852305736496216,0.509617566881929,0.765917780980885,-0.315149887127011,0.930122563771977,0.999252715885896,-0.408167372112414
"Porphyromonas endodontalis",0.0825159506307868,0.386102367558002,0.333288583312413,0.656541676519217,-0.636667009345665,0.927479428024778,0.999252715885896,-0.662235281673597
"Porphyromonas gingivalis",0.820152523677492,0.981245632143723,0.870293708449812,0.924501785402504,0.065227546858855,0.89644676858659,0.999252715885896,0.313010214059435
"Porphyromonas sp._HMT_285",0.426967637126798,0.852305736496216,0.296096908169242,0.647454227932308,-1.5976711878807,0.190050884554453,0.589645052079201,-2.86622618463866
"Alloprevotella rava",0.807959023309405,0.981245632143723,0.0869519869793035,0.339393239499862,0.758680937372012,0.65739010697702,0.999252715885896,1.45281232037808
"Alloprevotella tannerae",0.0499136121300833,0.338649507430791,0.386279308874441,0.697608901101603,0.698722652741586,0.27936953676084,0.696267879975953,1.35061509233756
"Prevotella baroniae",0.0192023693905636,0.164591737633402,0.336409784662739,0.656541676519217,0.566613534361687,0.520225422636315,0.990615952360888,1.10275935478773
"Prevotella denticola",0.000633565887036852,0.0253426354814741,0.0356726232849103,0.213199503940331,1.39621726060242,0.130024252258321,0.542514983560581,2.38424968686341
"Prevotella histicola",0.894127819538617,0.981245632143723,0.624855826899937,0.775543452032612,-0.427164130470157,0.96254642564506,0.999252715885896,-0.377098395243492
"Prevotella jejuni",0.817009467110537,0.981245632143723,0.23547274346971,0.581473509384386,-0.750286019806427,0.796681359113815,0.999252715885896,-1.06678256141195
"Prevotella maculosa",0.151945144454417,0.528137362659286,0.915083132702464,0.943995021106152,0.0487492292585955,0.978979490650356,0.999252715885896,0.169406718683443
"Prevotella melaninogenica",0.00584236137538151,0.100154766435112,0.0100888925133983,0.105747087459946,3.235349277319,0.000323996739951316,0.00560051507630131,5.62306406081489
"Prevotella micans",0.999967636878281,0.999967636878281,0,0,-0.792556920622997,0.0693932690541041,0.399837407406981,-1.34212229610909
"Prevotella multisaccharivorax",0.561110082700837,0.93993581140148,0.53715050687497,0.765917780980885,0.271524885452153,0.75433597274949,0.999252715885896,0.706611219243
"Prevotella nanceiensis",0.0836555129709005,0.386102367558002,0.521614798134104,0.765917780980885,-0.481283859880895,0.916382062011037,0.999252715885896,-0.625998540908982
"Prevotella nigrescens",0.581171930771438,0.940737732297557,0.615297080111616,0.775543452032612,-0.23276735846155,0.906685014098237,0.999252715885896,-0.233158856330207
"Prevotella oralis",0.662284914654147,0.960945468346796,0.886299232286698,0.924501785402504,0.0876224275519992,0.955609944511509,0.999252715885896,0.233449285300428
"Prevotella oris",0.756230072017773,0.981245632143723,0.299648237720738,0.647454227932308,0.659280204202581,0.420887745222306,0.907371681871285,1.5152770874585
"Prevotella oulorum",0.939017994878079,0.985366969566493,0.976771923261873,0.991907090487797,0.0124293028387527,0.198899004819383,0.601669489578635,0.502493547353821
"Prevotella pallens",0.755795985255561,0.981245632143723,0.308208885070967,0.654267984098018,-0.724266646287062,0.789121640764581,0.999252715885896,-0.992876277591077
"Prevotella salivae",0.70627000058766,0.981245632143723,0.117102904627307,0.381006342116965,1.38919795826528,0.178103090012665,0.589645052079201,2.55236840785847
"Prevotella sp._HMT_304",0.605762017343122,0.943709426156908,0.379391477921798,0.697608901101603,0.398392746018177,0.638305951411975,0.999252715885896,0.929611239739622
"Prevotella veroralis",0.203408825232369,0.554751341542825,0.403311594177092,0.706079502627499,0.810039620519654,0.524152184366244,0.990615952360888,1.40931570722646
"Tannerella sp._HMT_286",0.686576531370877,0.980823616244109,0.331554934033317,0.656541676519217,-0.477308527596177,0.347905232759031,0.809548714689283,-0.388629564069357
"Capnocytophaga endodontalis",0.82599504118185,0.981245632143723,0.920590185872115,0.943995021106152,-0.0568766843556082,0.98190505547453,0.999252715885896,0.057202047402356
"Capnocytophaga gingivalis",0.322192792463731,0.743521828762455,0.580272294374557,0.775543452032612,0.269158114206348,0.383718693097446,0.859814108607241,1.01995145597953
"Capnocytophaga granulosa",0.80632708532146,0.981245632143723,0.557973461942745,0.767213510171274,-0.244844128841212,0.941152013925424,0.999252715885896,-0.268411091241095
"Capnocytophaga leadbetteri",0.0309648381231333,0.2322362859235,0.116585480508477,0.381006342116965,-1.13249267735345,0.62202642711292,0.999252715885896,-1.40949108220715
"Capnocytophaga sputigena",0.518048471874262,0.905756243074521,0.273178751065571,0.625071136835014,-1.11141410142982,0.220566584708938,0.63544182737575,-1.562004770515
"Cloacibacterium normanense",0.0141877058433389,0.130963438553897,0.0457717053967942,0.228343935787815,-1.59732366240859,0.185527419765414,0.589645052079201,-2.61587225442675
"Abiotrophia defectiva",0.520809839767849,0.905756243074521,0.014052027194389,0.130791945424698,-3.46458106586832,0.0191505993933934,0.165515894757186,-4.90621967461522
"Dolosigranulum pigrum",0.906580139102668,0.981245632143723,0.0370015667995616,0.213199503940331,-1.03273865717819,0.135258411151429,0.545542258310764,-1.76042974031316
"Granulicatella adiacens",0.816776394044057,0.981245632143723,0.000155809123326059,0.0188529039224531,-2.45926080438414,2.69641619476957e-07,3.26266359567118e-05,-3.03234300001096
"Granulicatella elegans",0.590876991659975,0.940737732297557,0.137704438886927,0.427236848854312,-0.743937627170277,0.669909523144515,0.999252715885896,-1.30991318988821
"Ligilactobacillus salivarius",0.192523796463867,0.554751341542825,0.189999092394743,0.499780221299215,1.08316639902993,0.273398479824241,0.696267879975953,1.83754651737534
"Limosilactobacillus fermentum",0.454563059464648,0.852305736496216,0.879212515998735,0.924501785402504,-0.102575016190949,0.999252715885896,0.999252715885896,0.0192862662771777
"Streptococcus anginosus",0.415130508465582,0.852305736496216,0.205997961438392,0.519286527792613,1.34552022236551,0.110062221317394,0.542514983560581,2.0452608419313
"Streptococcus mutans",0.989735379536963,0.999967636878281,0.983709511227568,0.991907090487797,0.00536843778175244,0.93314280180206,0.999252715885896,0.297632778694833
"Streptococcus parasanguinis_clade_721",0.106196771646376,0.455129021341612,0.0104873144588376,0.105747087459946,-2.9137840352709,7.5821927120745e-05,0.00224024039760007,-3.72202762517455
"Streptococcus sanguinis",0.643817007149613,0.960945468346796,0.200802873578622,0.516960589425813,-1.25020486933203,0.0476696301362958,0.320445847027322,-1.86692489236383
"Catonella morbi",0.851905478363802,0.981245632143723,0.147108521749826,0.435737047642363,-0.510682119617634,0.68332752584593,0.999252715885896,-0.689013295052045
"Oribacterium asaccharolyticum",0.1630139692845,0.543379897615001,0.0455284322353591,0.228343935787815,-1.28567221392112,0.24258449411801,0.682621483448354,-2.18909101534776
"Shuttleworthia satelles",0.764116053625359,0.981245632143723,0.152288851281499,0.435737047642363,-0.576824417327874,0.736809806388893,0.999252715885896,-0.965189105793318
"Stomatobaculum longum",0.0133727458850928,0.130963438553897,0.118894427604692,0.381006342116965,-0.994023769421705,0.532149065317832,0.990615952360888,-1.63001341534837
"Peptostreptococcaceae_[G-1] [Eubacterium]_sulci",0.297189130096622,0.721313894895899,0.0345119562319264,0.213199503940331,-1.07270279939356,0.183281995998382,0.589645052079201,-1.95293903678989
"Peptostreptococcaceae_[G-9] [Eubacterium]_brachy",0.0118131976945245,0.128871247576631,0.510722561414095,0.765917780980885,0.424304571963306,0.427439552617052,0.907371681871285,0.872565962636075
"Peptostreptococcus stomatis",0.883032881755471,0.981245632143723,0.4282536468188,0.711940232865325,-0.378465490291135,0.924330860873916,0.999252715885896,-0.533848095817167
"Eggerthia catenaformis",0.55701622231057,0.93993581140148,0.408475745321693,0.706079502627499,0.599855042728585,0.481072507290468,0.986606328510961,1.16183494759305
"Bulleidia extructa",0.595313142471423,0.940737732297557,0.602045255827806,0.775543452032612,0.250768976629454,0.706711771560566,0.999252715885896,0.642738317132018
"Solobacterium moorei",0.0507974261146186,0.338649507430791,0.117108924145287,0.381006342116965,-1.17993686544739,0.21850012549368,0.63544182737575,-2.11441588172247
"Selenomonas noxia",0.854025009188715,0.981245632143723,0.381565789944924,0.697608901101603,0.308573258659795,0.690112306090767,0.999252715885896,0.8818900022814
"Selenomonas sp._HMT_501",0.913482337602343,0.981245632143723,0.501419537842464,0.765917780980885,0.37793655490257,0.719322500625958,0.999252715885896,0.778734133978172
"Selenomonas sputigena",0.393296681375201,0.852305736496216,0.159774569078326,0.439380064965397,0.738414981219703,0.156900122779177,0.575300450190314,1.57364642336372
