"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Abiotrophia",0.0613368148789075,0.368020889273445,0.380972213259601,0.817801960311287,-1.24376323956365,0.363006133611021,0.830540601303617,-2.03004478534502
"Acinetobacter",0.990146176623304,0.999999997971274,0.647259725118602,0.920250142167311,0.210363567902366,0.964587720565436,0.986864597495693,0.189241084784003
"Actinomyces",0.0330794962432703,0.264635969946162,0.924047772453453,0.963649819844315,0.0933847386917205,0.0965067403385956,0.414411296748087,-0.00583199331749668
"Aggregatibacter",0.884559800476633,0.999999997971274,0.757276277130299,0.920250142167311,0.186268907006063,0.985313639061333,0.986864597495693,-0.00092757676541777
"Alloprevotella",0.999188203833051,0.999999997971274,0.175958741766758,0.802811759310834,0.935901384157835,0.539763598509633,0.971788355137522,1.34293481965065
"Alloscardovia",0.968301394834496,0.999999997971274,0,0,2.55355468098223,0.0210353856021632,0.251266791739615,3.81543037733849
"Anaeroglobus",0.999999997971274,0.999999997971274,0,0,-0.13053668767757,0.814903899854112,0.986864597495693,-0.39007081995474
"Arachnia",0.858239970264416,0.999999997971274,0,0,-0.432847136673532,0.528785643963418,0.971788355137522,-0.982072252394234
"Bacteroidales_[G-2]",0.87717431561205,0.999999997971274,0.585588997830213,0.920250142167311,-0.254051938402919,0.779528366560833,0.986864597495693,-0.730166621973862
"Bacteroides",0.994396617410104,0.999999997971274,0.364429817290063,0.817801960311287,0.720535626017214,0.761129267275819,0.986864597495693,0.945951089336908
"Bifidobacterium",0.962160348963812,0.999999997971274,0.526561985254337,0.886782975983236,0.757228777066993,0.364072592352271,0.830540601303617,1.07441430749482
"Bosea",0.15558161477004,0.560353935139327,0.303023044185598,0.817801960311287,1.02360474445119,0.4503656054424,0.939333977065577,1.55883913463704
"Burkholderia",0.611403679924548,0.999999997971274,0.298311207984542,0.817801960311287,-0.706060310913866,0.695243904471681,0.986864597495693,-1.10889255264896
"Campylobacter",0.0894613711205463,0.429414581378622,0.0536954688689102,0.692201680787105,-1.26795333071882,0.105281048178512,0.426973139835077,-2.37597183930842
"Capnocytophaga",0.597969805921369,0.999999997971274,0.321262873602406,0.817801960311287,-1.06685297171766,0.236342711553029,0.705022332426205,-2.0349182492856
"Cardiobacterium",0.627704908037114,0.999999997971274,0.812768636521266,0.920250142167311,0.144201552846228,0.983819859911118,0.986864597495693,-0.0186482903858081
"Catonella",0.99999968857622,0.999999997971274,0.353803024163449,0.817801960311287,0.338903943071184,0.893593075933716,0.986864597495693,0.282021711226812
"Cloacibacterium",0.224010277541711,0.672030832625132,0.282401158052964,0.817801960311287,-0.8087272226812,0.407739865518032,0.875441475965187,-1.74262850911769
"Corynebacterium",0.423986805669682,0.953970312756783,0.232139895819493,0.817801960311287,0.492791418779366,0.868736078924659,0.986864597495693,0.530187074251522
"Cryptobacterium",0.850967377084345,0.999999997971274,0.819400811518839,0.920250142167311,-0.10605624498872,0.823370382014439,0.986864597495693,-0.494219134209277
"Desulfobulbus",0.999979423866138,0.999999997971274,0.142233222079542,0.692201680787105,0.383929866740439,0.752248753892653,0.986864597495693,0.406684036345411
"Dialister",0.836271569739874,0.999999997971274,0.139350287139078,0.692201680787105,1.01942994687011,0.530253138215928,0.971788355137522,1.33617260157689
"Eggerthia",0.999656430908116,0.999999997971274,0.112241305324908,0.692201680787105,0.526276773986109,0.536136568453847,0.971788355137522,0.645431262497348
"Eikenella",0.963089859228554,0.999999997971274,0.888861202328105,0.963649819844315,0.142397989320446,0.984687643215225,0.986864597495693,-0.124185726846807
"Escherichia",NA,NA,0.376787633123925,0.817801960311287,-1.47887483758073,0.00778855102600873,0.113712844979727,-2.56050379034164
"Fusobacterium",0.86714768463952,0.999999997971274,0.801037578712599,0.920250142167311,-0.245285670241322,0.887006862256157,0.986864597495693,-0.725790582996498
"Gemella",0.685081244508042,0.999999997971274,0.408625017766447,0.82100993830822,1.16718426623774,0.068966196377815,0.414411296748087,1.43718919627244
"Granulicatella",0.0199756056155802,0.233077162318228,0.212128506481476,0.817801960311287,-1.37365753251534,0.000105041742453071,0.00255601573302474,-2.24922805506998
"Haemophilus",0.0436875004994729,0.285954548723823,0.728042827824087,0.920250142167311,0.567089246052216,0.0281850506602179,0.257188587274489,0.538618860794186
"Kingella",0.969078509820005,0.999999997971274,0.379520747389174,0.817801960311287,0.497810174287906,0.869379787836053,0.986864597495693,0.462302651265511
"Klebsiella",0.155653870872035,0.560353935139327,0.678141359470606,0.920250142167311,0.388262584637664,0.318595805788293,0.830540601303617,0.63884834889725
"Kluyvera",0.311368753957157,0.862251934035205,0.899893965592419,0.963649819844315,-0.108680850033577,0.18167363903541,0.576616332590648,-0.513762108301561
"Lachnoanaerobaculum",0.403793831432988,0.953970312756783,0.105719223169372,0.692201680787105,-0.977308523362819,0.386034168995442,0.853954373838402,-1.73050159966027
"Lacticaseibacillus",0.690587981022715,0.999999997971274,0.322325455407025,0.817801960311287,0.989331297492115,0.165018305981087,0.547560742573608,1.55240983421474
