"","Corncob.p.val","Corncob.q.val","ANCOMBC.p.val","ANCOMBC.q.val","ANCOMBC.LFC","LinDA.p.val","LinDA.q.val","LinDA.LFC"
"Actinomyces gerencseriae",0.861580488914679,0.999999976266185,0,0,-0.102275974267772,0.652087447056936,0.997080410316989,-0.771730208175488
"Actinomyces graevenitzii",0.97611252005272,0.999999976266185,0.888813270710466,0.968171598452472,0.0452644615066825,0.854654427543078,0.997080410316989,-0.525337614754105
"Actinomyces sp._HMT_448",0.95867635304664,0.999999976266185,0.0990599604769764,0.774986109675351,1.17732825112156,0.171956715795551,0.903862954134705,1.8525578106769
"Peptidiphaga sp._HMT_183",0.914865663155843,0.999999976266185,0,0,-0.264405713833604,0.467203207420755,0.997080410316989,-1.06494580079713
"Schaalia cardiffensis",0.997107219718827,0.999999976266185,0.251752363629844,0.774986109675351,0.542636360485078,0.873443456067413,0.997080410316989,0.380701061051354
"Schaalia odontolytica",0.0940683510407111,0.945615658282225,0.733212918527329,0.937213815637117,0.447112646552627,0.498277141049966,0.997080410316989,0.127916225295251
"Alloscardovia omnicolens",0.913248301730025,0.999999976266185,0,0,2.42686020651536,0.0371369496563549,0.45307078580753,3.68466391006722
"Bifidobacterium dentium",0.260312107043465,0.999999976266185,0.2374949023396,0.774986109675351,1.24030550965808,0.144784302338083,0.83485188939946,1.91950924245102
"Scardovia wiggsiae",0.555156566556441,0.999999976266185,0.882372054465,0.968171598452472,-0.130799046585453,0.098688992271314,0.668892058727795,-0.597925446156559
"Corynebacterium durum",0.98823416377721,0.999999976266185,0.549201232779456,0.897960637093494,0.212855503444028,0.987155885322444,0.997080410316989,0.0168239331979424
"Corynebacterium matruchotii",0.999853283404738,0.999999976266185,0.462109123638701,0.867343278214177,0.218138744714951,0.988547459983127,0.997080410316989,-0.0277784851977183
"Rothia aeria",0.998025197387105,0.999999976266185,0.0884997323951312,0.774986109675351,0.910287389262036,0.59010533190113,0.997080410316989,1.24110452989348
"Rothia dentocariosa",8.10519374818637e-06,0.000964518056034178,0.203257665313856,0.774986109675351,-0.740159970098192,0.199243731799902,0.903862954134705,-2.031510346393
"Rothia mucilaginosa",0.00301697621418819,0.115212725272136,0.338909924067095,0.861403654933688,-1.09621322374918,0.000369085931873014,0.0225142418442539,-2.35268045484856
"Arachnia propionica",0.883908322226471,0.999999976266185,0,0,-0.559541611140398,0.235248406403072,0.989665709695684,-1.8232910201945
"Lancefieldella parvula",0.0227270787288386,0.386360338390256,0.550671645882411,0.897960637093494,-0.641054521058084,0.543423350069119,0.997080410316989,-1.98208466186199
"Olsenella sp._HMT_807",0.73299139761867,0.999999976266185,0.191427127357783,0.774986109675351,0.42280584012588,0.888302439998129,0.997080410316989,0.301982408526678
"Olsenella uli",0.691427971034993,0.999999976266185,0.0901343795319337,0.774986109675351,0.621656859689133,0.549460868166893,0.997080410316989,0.786224939226092
