Feature ID	Taxon	Confidence
seq339	k__Bacteria	0.9999998260617028
seq340	k__Bacteria	0.9999999686713232
seq341	k__Bacteria	0.9999999178599975
seq342	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__parvula	0.9907688741074837
seq343	k__Bacteria	0.9999998337360667
seq344	k__Bacteria	0.999999805554295
seq345	k__Bacteria;p__Firmicutes	0.9987134951919082
seq346	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.9970503435258418
seq347	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.9971851526111966
seq348	k__Bacteria	0.9999997721724403
seq349	k__Bacteria	0.9999999053830699
seq350	k__Bacteria	0.9999996338894592
seq351	k__Bacteria	0.9999999999250956
seq352	k__Bacteria	0.9999999999984873
seq353	k__Bacteria	0.9999998430082644
seq354	k__Bacteria	0.9999999916228448
seq355	k__Bacteria	0.9999998115648638
seq356	k__Bacteria	0.9999999432037082
seq357	k__Bacteria	0.9999999354744284
seq358	k__Bacteria	0.9999988072218918
seq359	k__Bacteria	0.9999999969907735
seq360	k__Bacteria;p__Firmicutes	0.996222087965298
seq361	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.9934412948284986
seq362	k__Bacteria	0.9999999990472271
seq363	k__Bacteria	0.9999998382360669
seq364	k__Bacteria	0.9999994433754684
seq365	k__Bacteria	0.9999999999856908
seq366	k__Bacteria	0.9999999140182464
seq367	k__Bacteria	0.9999999989116077
seq368	k__Bacteria	0.9999999065354555
seq369	k__Bacteria	0.9999997475004524
seq370	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.9999998109295251
seq371	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.9999999999991648
seq372	k__Bacteria	0.9999999202048456
seq373	k__Bacteria	0.9999993939802241
seq374	k__Bacteria	0.9999999985070445
seq375	k__Bacteria	0.9999999573076823
seq376	k__Bacteria	0.9999996173551132
seq377	k__Bacteria	0.9999999840069023
seq378	k__Bacteria	0.9999994011015014
seq379	k__Bacteria	0.999999638767745
seq380	k__Bacteria	0.9999994810373999
seq381	k__Bacteria	0.999999997032834
seq382	k__Bacteria	0.9999895676821058
seq383	k__Bacteria	0.9999983220682614
seq384	k__Bacteria	0.9999999943931143
seq385	k__Bacteria	0.9999994452476837
seq386	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__ascorbata	0.9820544773338646
seq387	k__Bacteria	0.9999999980805827
seq388	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.9999227265483918
seq389	k__Bacteria	0.9999999999418661
seq390	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.9999938562806412
seq391	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.9999890758368204
